Id,RecordTypeId,Country_Code__c,Definition_Key__c,Description__c,Keyword__c,Long_Code__c,Retry_Count__c,Send_Time_End__c,Send_Time_Start__c,Status__c
a3HBn000000DJUfMAO,012Bn000000onOvIAI,AU,,,SALESFORCESMS,61439982834,,,,
a3HBn000000DNLNMA4,012Bn000000onQXIAY,,Domestic First Offer to Acceptance (Automated),An intervention involving a future domestic student who has been made an offer for the first time but not yet accepted,,,2,17:00:00.000Z,07:00:00.000Z,Inactive
a3HBn000000DNObMAO,012Bn000000onQXIAY,,Domestic Accepted not yet Enrolled (Automated),An intervention involving a future domestic student who has accepted an offer but not yet enrolled into their course/program,,,2,18:00:00.000Z,07:00:00.000Z,Active
a3HBn000000DNOcMAO,012Bn000000onQXIAY,,Domestic First Offer to Acceptance,An intervention involving a future domestic student who has been made an offer for the first time but not yet accepted,,,2,18:00:00.000Z,07:00:00.000Z,Active
a3HBn000000DNOdMAO,012Bn000000onQXIAY,,Domestic Accepted and Admitted,,,,2,18:00:00.000Z,07:00:00.000Z,Active
a3HBn000000DNOeMAO,012Bn000000onQXIAY,,Domestic Deferred Offer to Acceptance,An intervention involving a future domestic student who has been made an offer again for a previously deferred offer but not yet accepted,,,2,18:00:00.000Z,07:00:00.000Z,Active
a3HBn000000DNOfMAO,012Bn000000onQXIAY,,Domestic Accepted not yet Enrolled,An intervention involving a future student who has accepted an offer but not yet enrolled into their course/program,,,2,18:00:00.000Z,07:00:00.000Z,Active
a3HBn000000DNOgMAO,012Bn000000onQXIAY,,Domestic No Answer SMS,,,,2,18:00:00.000Z,07:00:00.000Z,Active
