_,Id,Name,hed__Course__c,hed__Term__c,hed__Capacity__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,Action_Required__c,Administrative_Support__c,Available_Seats__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Course_Code__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,IsActive__c,LMS_Integration_Status__c,LMS_Quality__c,Minimum_Participants__c,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Delivery_Platform__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c,Delivery_Mode__c,Migration_Id__c,LMS_Creation_Date__c
[hed__Course_Offering__c],a0B8q000000Ce7bEAC,EXOS0046-20220607-1,a0C8q0000005MvEEAU,a0POm000001KkqoMAC,20,2022-08-16,a0FOm000000WABGMA4,,,2022-08-16,,,20,,,EXOS0046,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7cEAC,EXOS0046-20220607-2,a0C8q0000005MvFEAU,a0POm000001KkqpMAC,20,2022-08-16,,,,2022-08-16,,,20,,,EXOS0046,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7dEAC,EXOS0047-20220823-1,a0C8q0000005MvGEAU,a0POm000001KkqqMAC,35,2022-08-23,a0FOm000000WABGMA4,,,2022-08-23,,,24,1,,EXOS0047,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-08-21,2022-05-01,11,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7eEAC,EXOS0048-20220718-1,a0C8q0000005MvHEAU,a0POm000001KkqrMAC,200,2022-08-29,,,,2022-08-29,,,105,0,,EXOS0048,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-07-15,2022-04-26,95,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7fEAC,EXOS0048-20221010-1,a0C8q0000005MvIEAU,a0POm000001KkqsMAC,1000,2023-12-31,,,,2023-12-31,,,877,91,,EXOS0048,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-10-03,2022-06-12,123,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7gEAC,EXOS0049-20220512-1,a0C8q0000005MvJEAU,a0POm000001KkqtMAC,35,2022-06-23,a0FOm000000WABGMA4,,,2022-06-23,,,11,,,EXOS0049,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-05-10,2022-03-01,24,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7hEAC,EXOS0049-20220914-1,a0C8q0000005MvKEAU,a0POm000001KkquMAC,40,2022-11-09,a0FOm000000WABGMA4,,,2022-11-09,,,10,6,,EXOS0049,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-09-11,2022-04-26,30,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7iEAC,EXOS0050-20220606-1,a0C8q0000005MvLEAU,a0POm000001Kl2EMAS,25,2022-06-15,,,,2022-06-15,,,25,,,EXOS0050,Online Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-05-30,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7jEAC,EXOS0050-20221121-1,a0C8q0000005MvMEAU,a0POm000001Kl2FMAS,25,2022-11-30,,,,2022-11-30,,,25,0,,EXOS0050,Online Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-11-13,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7kEAC,EXOS0051-20220722-1,a0C8q0000005MvNEAU,a0POm000001Kl2GMAS,35,2022-07-22,a0FOm000000WABGMA4,,,2022-07-22,,,9,5,,EXOS0051,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-07-20,2022-05-01,26,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7lEAC,EXOS0051-20221118-1,a0C8q0000005MvOEAU,a0POm000001Kl2HMAS,35,2022-11-18,a0FOm000000WABGMA4,,,2022-11-18,,,23,5,,EXOS0051,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-11-16,2022-07-20,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7mEAC,EXOS0052-20220920-1,a0C8q0000005MvPEAU,a0POm000001Kl2IMAS,35,2022-09-21,,,,2022-09-21,,,35,0,,EXOS0052,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-09-19,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7nEAC,EXOS0053-20220516-1,a0C8q0000005MvQEAU,a0POm000001Kl2JMAS,200,2022-06-12,,,,2022-06-12,,,188,,,EXOS0053,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-05-09,2022-05-01,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7oEAC,EXOS0054-20220725-1,a0C8q0000005MvREAU,a0POm000001Kl2KMAS,200,2022-08-21,,,,2022-08-21,,,200,1,,EXOS0054,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-10,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7pEAC,EXOS0055-20220516-1,a0C8q0000005MvSEAU,a0POm000001Kl2LMAS,200,2022-06-12,,,,2022-06-12,,,170,,,EXOS0055,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-05-13,2022-05-01,30,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7qEAC,EXOS0055-20220725-1,a0C8q0000005MvTEAU,a0POm000001Kl2MMAS,200,2022-08-21,,,,2022-08-21,,,186,3,,EXOS0055,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-20,2022-05-10,14,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7rEAC,EXOS0056-20220622-1,a0C8q0000005MvUEAU,a0POm000001Kl2NMAS,35,2022-06-01,a0FOm000000WABGMA4,,,2022-06-01,,,35,,,EXOS0056,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-05-31,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7sEAC,EXOS0057-20220524-1,a0C8q0000005MvVEAU,a0POm000001Kl2OMAS,35,2022-05-24,a0FOm000000WABGMA4,,,2022-05-24,,,27,,,EXOS0057,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-05-20,2022-05-01,8,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7tEAC,EXOS0057-20221019-1,a0C8q0000005MvWEAU,a0POm000001Kl2PMAS,35,2022-10-19,a0FOm000000WABGMA4,,,2022-10-19,,,12,5,,EXOS0057,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-10-15,2022-05-21,23,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7uEAC,EXOS0058-20220525-1,a0C8q0000005MvXEAU,a0POm000001Kl2QMAS,35,2022-05-25,a0FOm000000WABGMA4,,,2022-05-25,,,35,,,EXOS0058,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-05-23,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7vEAC,EXOS0059-20220610-1,a0C8q0000005MvYEAU,a0POm000001Kl2RMAS,35,2022-06-24,a0FOm000000WABGMA4,,,2022-06-24,,,35,,,EXOS0059,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-06-08,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7wEAC,EXOS0059-20220817-1,a0C8q0000005MvZEAU,a0POm000001Kl2SMAS,35,2022-08-31,a0FOm000000WABGMA4,,,2022-08-31,,,20,3,,EXOS0059,Brisbane Classroom,,,,,,,,FALSE,,,10,,,,No LMS,a098q0000007pP8AAI,,,2022-08-15,2022-06-09,15,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7xEAC,EXOS0060-20220823-1,a0C8q0000005MvaEAE,a0POm000001Kl2TMAS,35,2022-10-06,a0FOm000000WABGMA4,,,2022-10-06,,,20,7,,EXOS0060,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-10-04,2022-05-01,15,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7yEAC,EXOS0060-20221201-1,a0C8q0000005MvbEAE,a0POm000001Kl2UMAS,35,2018-12-01,a0FOm000000WABGMA4,,,2018-12-01,,,35,,,EXOS0060,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-08-14,2022-08-13,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7zEAC,GSZ601-20220615-1,a0C8q0000005NuPEAU,a0POm000001Kl2VMAS,35,2022-07-13,a0FOm000000WABGMA4,,,2022-07-13,,,22,,,GSZ601,Brisbane Classroom,,,,,,,,FALSE,Success,,10,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-05-25,2022-05-01,13,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce80EAC,GSZ602-20220713-1,a0C8q0000005NuQEAU,a0POm000001Kl2WMAS,35,2022-08-11,,,,2022-08-11,,,34,,,GSZ602,Online Classroom,,,,,,,,FALSE,Success,,8,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-06-15,2022-05-01,1,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce81EAC,GSZ603-20220721-1,a0C8q0000005NuREAU,a0POm000001Kl2XMAS,35,2022-08-18,a0FOm000000WABGMA4,,,2022-08-18,,,21,6,,GSZ603,Brisbane Classroom,,,,,,,,FALSE,Success,,6,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-02,2022-05-01,14,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce82EAC,GSZ606-20220803-1,a0C8q0000005NuSEAU,a0POm000001Kl2YMAS,35,2022-08-31,,,,2022-08-31,,,26,0,,GSZ606,Online Classroom,,,,,,,,FALSE,Success,,6,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-20,2022-05-01,9,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce83EAC,GSZ608-20220825-1,a0C8q0000005NuTEAU,a0POm000001Kl2ZMAS,35,2022-10-05,a0FOm000000WABGMA4,,,2022-10-05,,,23,4,,GSZ608,Brisbane Classroom,,,,,,,,FALSE,Success,,5,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-08-03,2022-05-01,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce84EAC,GSZ614-20220531-1,a0C8q0000005NuUEAU,a0POm000001Kl2aMAC,35,2022-06-28,a0FOm000000WABGMA4,,,2022-06-28,,,14,,,GSZ614,Brisbane Classroom,,,,,,,,FALSE,Success,,8,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-05-10,2022-05-01,21,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce85EAC,GSZ615-20220915-1,a0C8q0000005NuVEAU,a0POm000001Kl2bMAC,35,2022-10-13,,,,2022-10-13,,,27,0,,GSZ615,Online Classroom,,,,,,,,FALSE,Success,,6,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-08-28,2022-05-01,8,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce86EAC,GSZ616-20220707-1,a0C8q0000005NuWEAU,a0POm000001Kl2cMAC,35,2022-08-04,,,,2022-08-04,,,25,,,GSZ616,Online Classroom,,,,,,,,FALSE,Success,,10,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-06-16,2022-05-01,10,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce87EAC,LTUM1005-20220621-1,a0C8q0000005NuXEAU,a0POm000001Kl2dMAC,30,2022-08-01,,,,2022-08-01,,,27,,,LTUM1005,Online Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-08-03,2022-05-01,3,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC2EAK,EXOS0061-20220516-1,a0C8q0000005NuYEAU,a0POm000001Kl2eMAC,999,2024-12-30,,,,2024-12-30,,,978,5,,EXOS0061,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,21,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC3EAK,EXOS0062-20220516-1,a0C8q0000005NuZEAU,a0POm000001Kl2fMAC,999,2023-12-31,,,,2023-12-31,,,938,3,,EXOS0062,Online Self-paced,,,,,,,,TRUE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2023-10-21,2022-05-16,61,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC4EAK,EXOS0063-20220516-1,a0C8q0000005NuaEAE,a0POm000001Kl2gMAC,999,2024-12-30,,,,2024-12-30,,,992,1,,EXOS0063,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,7,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC5EAK,EXOS0064-20220516-1,a0C8q0000005NubEAE,a0POm000001Kl2hMAC,999,2024-12-30,,,,2024-12-30,,,977,10,,EXOS0064,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,22,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC6EAK,EXOS0065-20220516-1,a0C8q0000005NucEAE,a0POm000001Kl2iMAC,999,2024-12-30,,,,2024-12-30,,,940,3,,EXOS0065,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-05-16,59,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC7EAK,EXOS0066-20220516-1,a0C8q0000005NudEAE,a0POm000001Kl2jMAC,999,2024-12-30,,,,2024-12-30,,,998,0,,EXOS0066,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,1,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC8EAK,EXOS0067-20220516-1,a0C8q0000005NueEAE,a0POm000001Kl2kMAC,999,2024-12-30,,,,2024-12-30,,,953,10,,EXOS0067,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,46,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrC9EAK,EXOS0068-20220516-1,a0C8q0000005NufEAE,a0POm000001Kl2lMAC,999,2024-12-30,,,,2024-12-30,,,982,1,,EXOS0068,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,17,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCAEA0,EXOS0069-20220516-1,a0C8q0000005NugEAE,a0POm000001Kl2mMAC,999,2024-12-30,,,,2024-12-30,,,997,6,,EXOS0069,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,2,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCBEA0,EXOS0070-20220516-1,a0C8q0000005NuhEAE,a0POm000001Kl2nMAC,999,2024-12-30,,,,2024-12-30,,,983,1,,EXOS0070,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,16,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCCEA0,EXOS0071-20220516-1,a0C8q0000005NuiEAE,a0POm000001Kl2oMAC,9999,2024-12-30,,,,2024-12-30,,,9882,13,,EXOS0071,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,117,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCDEA0,EXOS0072-20220516-1,a0C8q0000005NujEAE,a0POm000001Kl2pMAC,999,2024-12-30,,,,2024-12-30,,,714,31,,EXOS0072,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,285,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCEEA0,EXOS0073-20220516-1,a0C8q0000005NukEAE,a0POm000001Kl2qMAC,9999,2024-12-30,,,,2024-12-30,,,9999,,,EXOS0073,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-04-12,2022-08-15,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCFEA0,EXOS0074-20220516-1,a0C8q0000005NulEAE,a0POm000001Kl2rMAC,9999,2024-12-30,,,,2024-12-30,,,9687,19,,EXOS0074,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,312,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCGEA0,EXOS0075-20220516-1,a0C8q0000005NumEAE,a0POm000001Kl2sMAC,9999,2024-12-30,,,,2024-12-30,,,9580,43,,EXOS0075,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,419,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCHEA0,EXOS0076-20220516-1,a0C8q0000005SksEAE,a0POm000001Kl2tMAC,9999,2024-12-30,,,,2024-12-30,,,9781,19,,EXOS0076,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,218,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCIEA0,EXOS0077-20220516-1,a0C8q0000005SktEAE,a0POm000001Kl2uMAC,9999,2024-12-30,,,,2024-12-30,,,9688,34,,EXOS0077,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,311,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCJEA0,EXOS0078-20220516-1,a0C8q0000005SkuEAE,a0POm000001Kl2vMAC,9999,2024-12-30,,,,2024-12-30,,,9735,32,,EXOS0078,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,264,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCKEA0,EXOS0079-20220516-1,a0C8q0000005cVrEAI,a0POm000001Kl2wMAC,9999,2024-12-30,,,,2024-12-30,,,9662,37,,EXOS0079,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,337,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCLEA0,EXOS0080-20220516-1,a0C8q0000005ghWEAQ,a0POm000001Kl2xMAC,9999,2024-12-30,,,,2024-12-30,,,9774,15,,EXOS0080,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-08-15,225,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCMEA0,EXOS0081-20220516-1,a0C8q0000005ghXEAQ,a0POm000001Kl2yMAC,9999,2024-12-30,,,,2024-12-30,,,9784,16,,EXOS0081,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,215,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCNEA0,EXOS0082-20220516-1,a0C8q0000005ghYEAQ,a0POm000001Kl2zMAC,999,2022-07-26,,,,2022-07-26,,,986,4,,EXOS0082,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-07-25,2022-01-01,13,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCOEA0,EXOS0083-20220516-1,a0C8q0000005ghZEAQ,a0POm000001Kl30MAC,999,2024-12-30,,,,2024-12-30,,,992,1,,EXOS0083,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2023-09-14,2022-08-15,7,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GrCPEA0,EXOS0084-20220516-1,a0C8q0000005ghaEAA,a0POm000001Kl31MAC,999,2024-12-30,,,,2024-12-30,,,986,2,,EXOS0084,Online Self-paced,,,,,,,,TRUE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2024-12-30,2022-05-16,13,,FALSE,,,2022-05-02
[hed__Course_Offering__c],a0B8q000000GwIFEA0,EXCM0001-20220516-1,a0C8q0000005ghbEAA,a0POm000001Kl32MAC,35,2022-06-17,,,,2022-06-17,,,35,,,EXCM0001,Online Classroom,,,,,,,,FALSE,Success,,8,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-05-02,2022-02-07,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GwIGEA0,EXCM0001-20220815-1,a0C8q0000005ghcEAA,a0POm000001Kl33MAC,35,2022-09-16,,,,2022-09-16,,,26,2,,EXCM0001,Online Classroom,,,,,,,,FALSE,Success,,8,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-08-08,2022-05-01,9,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GwIHEA0,EXCM0001-20221031-1,a0C8q0000005ghdEAA,a0POm000001Kl34MAC,35,2022-12-02,,,,2022-12-02,,,28,2,,EXCM0001,Online Classroom,,,,,,,,FALSE,Success,,8,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-10-24,2022-08-09,7,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GwIIEA0,EXCM0002-20220905-1,a0C8q0000005gheEAA,a0POm000001Kl35MAC,40,2022-12-05,,,,2022-12-05,,,40,5,,EXCM0002,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-09-27,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000GwIJEA0,EXOS0085-20220516-1,a0C8q0000005ghfEAA,a0POm000001Kl36MAC,999,2024-12-30,,,,2024-12-30,,,999,0,,EXOS0085,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2024-12-30,2022-05-23,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HIPAEA4,LWN164-20220730-1,a0C8q0000005ghgEAA,a0POm000001Kl37MAC,20,2022-08-14,,,,2022-08-14,,,16,3,,LWN164,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-25,2022-06-16,4,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HIftEAG,EXOS0023-20220727-1,a0C8q0000005ghhEAA,a0POm000001Kl38MAC,20,2022-10-31,,,,2022-10-31,,,17,0,,EXOS0023,Online Classroom,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-24,2022-06-16,3,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HIfyEAG,PUP116-20220727-1,a0C8q0000005ghiEAA,a0POm000001Kl39MAC,20,2022-12-31,,,,2022-12-31,,,20,1,,PUP116,Online Classroom,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-07-24,2022-06-16,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HInEEAW,EXOS0029-20220811-1,a0C8q0000005ghjEAA,a0POm000001Kl3AMAS,20,2022-08-27,,,,2022-08-27,,,17,5,,EXOS0029,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-08-03,2022-06-17,3,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HInJEAW,PUN632-20220811-1,a0C8q0000005ghkEAA,a0POm000001Kl3BMAS,20,2022-12-31,,,,2022-12-31,,,20,0,,PUN632,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-08-03,2022-06-17,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HJu5EAG,EXOS0031-2022099-1,a0C8q0000005ghlEAA,a0POm000001Kl3CMAS,20,2022-12-31,,,,2022-12-31,,,17,,,EXOS0031,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-09-02,2022-06-20,3,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HJuFEAW,PUN219-2022099-1,a0C8q0000005ghmEAA,a0POm000001Kl3DMAS,20,2022-12-31,,,,2022-12-31,,,20,,,PUN219,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,Blackboard,a098q0000007pP8AAI,,,2022-09-02,2022-06-20,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HL0VEAW,EXOS0028-20220923-1,a0C8q0000005ghoEAA,a0POm000001Kl3EMAS,20,2022-12-31,,,,2022-12-31,,,18,3,,EXOS0028,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-09-16,2022-06-21,2,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HL0fEAG,PUN454-20220923-1,a0C8q0000005ghpEAA,a0POm000001Kl3FMAS,20,2022-12-31,,,,2022-12-31,,,18,0,,PUN454,Brisbane Classroom,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-09-16,2022-06-21,2,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HNOSEA4,EXOS0092-20200325-1,a0C8q0000005ghqEAA,a0POm000001Kl3GMAS,,2020-03-25,,,,2020-03-25,,,0,,,EXOS0092,Brisbane Classroom,,,,,,,,FALSE,,,,,,,,a098q0000007pP8AAI,,,,,,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HNOTEA4,EXOS0092-20200527-1,a0C8q0000005ghrEAA,a0POm000001Kl3HMAS,,2020-05-27,,,,2020-05-27,,,-21,,,EXOS0092,Brisbane Classroom,,,,,,,,FALSE,,,,,,,,a098q0000007pP8AAI,,,,,21,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000HNOUEA4,EXOS0093-20210501-1,a0C8q0000005ghsEAA,a0POm000001Kl3IMAS,,2021-06-30,,,,2021-06-30,,,-6,,,EXOS0093,Online Classroom,,,,,,,,FALSE,Success,,,,,,Blackboard,a098q0000007pP8AAI,,,,,6,,FALSE,,,
