Id,BuyerGroupId,Name,IsActive,Pricebook2Id,Priority,BuyerGroup.Id,Pricebook2.Name
0Zl9n00000001VZCAY,0ZI9r0000000EkXGAU,BGPB-00000004,true,01s9p0000000rE1AAI,,Early Bird,OPE BuyerGroup
0Zl9n00000001YnCAI,0ZI9r0000000EkXGAU,BGPB-00000005,true,01s9h0000001P2nAAE,,Group Booking,OPE BuyerGroup
0Zl9n00000001aPCAQ,0ZI9r0000000EkXGAU,BGPB-00000006,true,01s9p0000000rHFAAY,,Alumni,OPE BuyerGroup
0Zl9n00000001vNCAQ,0ZI9r0000000EkXGAU,BGPB-00000007,true,01s9n0000003lTpAAI,,Free,OPE BuyerGroup
0Zl9n00000002HxCAI,0ZI9r0000000EkXGAU,BGPB-00000008,true,01s9p0000000rKTAAY,,Current Staff,OPE BuyerGroup
0Zl9n00000002JZCAY,0ZI9r0000000EkXGAU,BGPB-00000009,true,01s9p0000000rIrAAI,,Current Learner,OPE BuyerGroup

