Id,IsActive,Name,DeveloperName,EnhancedLetterheadId,EnhancedLetterhead.Id
00X9p0000002twgEAA,TRUE,Post Course Completion Email,Post_Course_Completion_Email_1647522201629,0Rn9p00000000JNCAY,0Rn9p00000000JNCAY
00X9p0000002uCbEAI,TRUE,Virtual Final Confirmation Email,Virtual_Final_Confirmation_Email_1647521797246,0Rn9p00000000JNCAY,0Rn9p00000000JNCAY
00X9p0000002uEQEAY,TRUE,Pre-Session Reminder Email,Pre_Session_Reminder_Email_1647522054243,0Rn9p00000000JNCAY,0Rn9p00000000JNCAY
00X9p0000002uFpEAI,TRUE,Online Self-paced Final Confirmation Email,Online_Self_paced_Final_Confirmation_Email_1647521892946,0Rn9p00000000JNCAY,0Rn9p00000000JNCAY
00X9p00000040vtEAA,TRUE,Face-Face Final Confirmation Email,Face_Face_Final_Confirmation_Email_1648549895245,0Rn9p00000000JNCAY,0Rn9p00000000JNCAY
00X9p0000004MTNEA2,TRUE,Registration Confirmation Email Template,Registration_Confirmation_Email_Template_CCE_and_OPE_2_1648975441999,0Rn9p00000000JNCAY,0Rn9p00000000JNCAY
