Amount__c,Attempt_No__c,Cart_ID__c,Cart_Item__c,Class_Registration_Start_Date__c,Course__c,Enrollment_Stage__c,Enrollment_Status__c,Enrollment_Status_Date__c,Errors,External_Key__c,hed__Contact__c,hed__Credentialing_Identifier__c,hed__Credits_Attempted__c,hed__Credits_Earned__c,hed__Display_Grade__c,hed__Grade__c,hed__Primary__c,hed__Program_Enrollment__c,hed__Status__c,hed__Verification_Status__c,hed__Verification_Status_Date__c,Id,Is_Group_Registered__c,IsActive__c,LMS_Integration_Status__c,Marks__c,Migration_Id__c,Paid_in_Full__c,Payment_Method__c,Pricing_Validation__c,Program_Offering__c,Purchased_Price__c,RecordTypeId,Requires_Class_Registration__c,Student_Has_Registered_For_Class__c,Transaction_ID__c
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVqkYAG,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqlYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVqmYAG,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqnYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVqoYAG,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVqpYAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqqYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqrYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqsYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqtYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVquYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqvYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqwYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqxYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqyYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVqzYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVr0YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVr1YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVr2YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVr3YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVr4YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVr5YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVr6YAG,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVr7YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVr8YAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVr9YAG,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrAYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrBYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrCYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrDYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrEYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrFYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrGYAW,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrHYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrIYAW,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrJYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrKYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrLYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrMYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrNYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrOYAW,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrPYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrQYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrRYAW,false,false,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrSYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrTYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrUYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrVYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrWYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrXYAW,false,true,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrYYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrZYAW,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVraYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrbYAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrcYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrdYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVreYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrfYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrgYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrhYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVriYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrjYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrkYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrlYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrmYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrnYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVroYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrpYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrqYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrrYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrsYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrtYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVruYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrvYAG,false,false,Success,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrwYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVrxYAG,false,false,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,false,,,,,a09AD000004DVryYAG,false,true,Not-Ready,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVrzYAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
,,,,,,,,,,,,,,,,,true,,,,,a09AD000004DVs0YAG,false,true,,,,,,,,,0128q0000004JlpAAE,false,false,
