CanViewPrice,CanViewProduct,Description,Id,IsActive,Name
true,true,,1CeAD0000000u2D0AQ,true,OPE Entitlement
true,true,,1CeAD0000000u3p0AA,true,QUTeX Products 2024-05-15 09:48:45Z
true,true,,1CeAD0000000u3q0AA,true,QUT GSB & QUTeX 2024-05-15 09:48:45Z
true,true,,1CeAD0000000u3r0AA,true,United BC Corp 2024-05-15 09:48:45Z
true,true,,1CeAD0000000u3s0AA,true,Central Perc Co. 2024-05-15 09:48:45Z
true,true,,1CeAD0000000u3t0AA,true,Test Corporation 2024-05-15 09:48:45Z
true,true,,1CeAD0000000u3u0AA,true,OPE Catalogue 2024-05-15 09:48:45Z
