BuyerGroup.Name,BuyerGroupId,Id,IsActive,Name,Pricebook2.Name,Pricebook2Id,Priority
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k7h0AA,true,BGPB-00000065,Early Bird,01s8q0000000KAgAAM,
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k7i0AA,true,BGPB-00000066,Group Booking,01s8q0000000KAhAAM,
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k7j0AA,true,BGPB-00000067,Alumni,01s8q0000000LTRAA2,
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k7k0AA,true,BGPB-00000068,Free,01s8q0000000KZaAAM,
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k7l0AA,true,BGPB-00000069,Current Staff,01s8q0000000LTQAA2,
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k7m0AA,true,BGPB-00000070,Current Learner,01s8q0000000KAfAAM,
OPE BuyerGroup,0ZIAD0000001DKz4AM,0ZlAD0000000k9Z0AQ,true,BGPB-00000087,Custom Corporate Products & Services,01s8q0000000KAcAAM,
