BuyerGroup.Name,BuyerGroupId,Id,WebStore.Name,WebStoreId
OPE BuyerGroup,0ZIAD0000001DKz4AM,0cDAD0000000p7N2AQ,Study,0ZEAD000002VCLV4A4
QUTeX Products 2024-05-15 09:48:44Z,0ZIAD0000001DOD4A2,0cDAD0000000p8z2AA,CCE,0ZEAD000002VCLW4A4
QUT GSB & QUTeX 2024-05-15 09:48:44Z,0ZIAD0000001DOE4A2,0cDAD0000000p902AA,CCE,0ZEAD000002VCLW4A4
United BC Corp 2024-05-15 09:48:44Z,0ZIAD0000001DOF4A2,0cDAD0000000p912AA,CCE,0ZEAD000002VCLW4A4
Central Perc Co. 2024-05-15 09:48:44Z,0ZIAD0000001DOG4A2,0cDAD0000000p922AA,CCE,0ZEAD000002VCLW4A4
Test Corporation 2024-05-15 09:48:44Z,0ZIAD0000001DOH4A2,0cDAD0000000p932AA,CCE,0ZEAD000002VCLW4A4
OPE Catalogue 2024-05-15 09:48:44Z,0ZIAD0000001DOI4A2,0cDAD0000000p942AA,CCE,0ZEAD000002VCLW4A4
