Academic_Status__c,Category_Type__c,Completed_Cadence__c,Description__c,Engagement_List_Configuration__c,Engagement_List_Configuration__r.Name,Engagement_List_Criteria_Title__c,Id,Key_Date__c,Key_Date_Offset_Lower_Boundary__c,Key_Date_Offset_Upper_Boundary__c,Previous_Academic_Status__c,RecordType.$$DeveloperName$SobjectType,RecordTypeId,Start_Date__c,Status__c
,Graduate Certificate;Graduate Diploma - Existing Area;Graduate Diploma - New Area;Masters by Coursework - Double Degree;Masters by Coursework - Single;Bachelor Honours - Graduate Entry;Bachelor Honours Degree;Bachelor Honours/Masters by Coursework Double Degree;Bachelor Honours/Pass Double Degree;Bachelor Pass Degree - Graduate Entry;Bachelor Pass Double Degree;Bachelor Pass Single Degree;Bachelor Pass/Masters by Coursework Double Degree;Undergraduate Certificate;Diploma and University Diploma;Advanced Dip (AQF Term)/Diploma (Pre-AQF Term) (Hist Only),Domestic Accepted and Admitted,Automated entry criteria for commencing students.,a3OBm000000HK3xMAG,Commencing Students,Commencing Students,a3PBm0000009e4fMAA,Completed Cadence Date,3,33,,Entry_Criteria;Engagement_List_Criteria__c,012Bm000005C3P3IAK,2024-04-01,Active
Probation,Graduate Certificate;Graduate Diploma - Existing Area;Graduate Diploma - New Area;Masters by Coursework - Double Degree;Masters by Coursework - Single;Bachelor Honours - Graduate Entry;Bachelor Honours Degree;Bachelor Honours/Masters by Coursework Double Degree;Bachelor Honours/Pass Double Degree;Bachelor Pass Degree - Graduate Entry;Bachelor Pass Double Degree;Bachelor Pass Single Degree;Bachelor Pass/Masters by Coursework Double Degree;Undergraduate Certificate;Diploma and University Diploma;Advanced Dip (AQF Term)/Diploma (Pre-AQF Term) (Hist Only),,Automated entry criteria for UAP - Show Cause Upheld.,a3OBm000000HK3yMAG,Show Cause Upheld - Unsatisfactory Academic Performance,Show Cause Upheld - Unsatisfactory Academic Performance,a3PBm0000009e4gMAA,Academic Status Date,7,37,Under consideration,Entry_Criteria;Engagement_List_Criteria__c,012Bm000005C3P3IAK,2024-04-01,Active
At Risk,Graduate Certificate;Graduate Diploma - Existing Area;Graduate Diploma - New Area;Masters by Coursework - Double Degree;Masters by Coursework - Single;Bachelor Honours - Graduate Entry;Bachelor Honours Degree;Bachelor Honours/Masters by Coursework Double Degree;Bachelor Honours/Pass Double Degree;Bachelor Pass Degree - Graduate Entry;Bachelor Pass Double Degree;Bachelor Pass Single Degree;Bachelor Pass/Masters by Coursework Double Degree;Undergraduate Certificate;Diploma and University Diploma;Advanced Dip (AQF Term)/Diploma (Pre-AQF Term) (Hist Only),,Automated entry criteria for UAP - At Risk.,a3OBm000000HK3zMAG,At Risk - Unsatisfactory Academic Performance,At Risk - Unsatisfactory Academic Performance,a3PBm0000009e4hMAA,Academic Status Date,7,37,,Entry_Criteria;Engagement_List_Criteria__c,012Bm000005C3P3IAK,2024-04-01,Active
Probation,Graduate Certificate;Graduate Diploma - Existing Area;Graduate Diploma - New Area;Masters by Coursework - Double Degree;Masters by Coursework - Single;Bachelor Honours - Graduate Entry;Bachelor Honours Degree;Bachelor Honours/Masters by Coursework Double Degree;Bachelor Honours/Pass Double Degree;Bachelor Pass Degree - Graduate Entry;Bachelor Pass Double Degree;Bachelor Pass Single Degree;Bachelor Pass/Masters by Coursework Double Degree;Undergraduate Certificate;Diploma and University Diploma;Advanced Dip (AQF Term)/Diploma (Pre-AQF Term) (Hist Only),,Automated entry criteria for UAP - Probation.,a3OBm000000HK40MAG,Probation - Unsatisfactory Academic Performance,Probation - Unsatisfactory Academic Performance,a3PBm0000009e4iMAA,Academic Status Date,7,37,Good Standing,Entry_Criteria;Engagement_List_Criteria__c,012Bm000005C3P3IAK,2024-04-01,Active
Showcause,Graduate Certificate;Graduate Diploma - Existing Area;Graduate Diploma - New Area;Masters by Coursework - Double Degree;Masters by Coursework - Single;Bachelor Honours - Graduate Entry;Bachelor Honours Degree;Bachelor Honours/Masters by Coursework Double Degree;Bachelor Honours/Pass Double Degree;Bachelor Pass Degree - Graduate Entry;Bachelor Pass Double Degree;Bachelor Pass Single Degree;Bachelor Pass/Masters by Coursework Double Degree;Undergraduate Certificate;Diploma and University Diploma;Advanced Dip (AQF Term)/Diploma (Pre-AQF Term) (Hist Only),,Automated entry criteria for UAP - Show Cause.,a3OBm000000HK5ZMAW,Show Cause - Unsatisfactory Academic Performance,Show Cause - Unsatisfactory Academic Performance,a3PBm0000009e6HMAQ,Academic Status Date,7,37,,Entry_Criteria;Engagement_List_Criteria__c,012Bm000005C3P3IAK,2024-04-01,Active
